no,admin1_bps_code,admin1_bps,status,date,title,source,type_source
154,81,MALUKU,buka,16 November 2021,"Tatap Muka Perdana, Siswa MIN 1 Maluku Tengah Antusias Ke Sekolah",https://radiodms.com/tatap-muka-perdana-siswa-min-1-maluku-tengah-antusias-ke-sekolah/,news
155,81,MALUKU,buka,6 Januari 2022,"12 sekolah di Ambon terapkan PTM terbatas, patuhi prokes",https://ambon.antaranews.com/berita/115785/12-sekolah-di-ambon-terapkan-ptm-terbatas-patuhi-prokes,news
156,81,MALUKU,tutup,31 Januari 2022,PTM 11 Sekolah di Ambon Dihentikan,https://www.malukuterkini.com/2022/01/31/ptm-11-sekolah-di-ambon-dihentikan/,news
157,81,MALUKU,tutup,3 Februari 2022,"Bahaya, Corona Mengancam Ambon, Sekolah Ditutup Hingga Maret",http://fokusmaluku.com/2022/02/03/bahaya-corona-mengancam-ambon-sekolah-ditutup-hingga-maret/,news
158,81,MALUKU,tutup,4 Februari 2022,Ambon Setop PTM Hingga Maret 2022,https://www.republika.co.id/berita/r6s58l366/ambon-setop-ptm-hingga-maret-2022,news
159,81,MALUKU,tutup,10 Februari 2022,Kasus Corona kembali Melonjak. Dinas Pendidikan Minta Semua Sekolah Belajar Dari Rumah.,https://infomalukunews.com/kasus-corona-kembali-melonjak-dinas-pendidikan-minta-semua-sekolah-belajar-dari-rumah-2/,news
160,81,MALUKU,tutup,14 Februari 2022,"Kasus Covid-19 Terus Naik, Sekolah di Aru Diliburkan",https://www.tribun-maluku.com/2022/02/kasus-covid-19-terus-naik-sekolah-di-aru-diliburkan/,news
161,81,MALUKU,buka,16 Maret 2022,Pemerintah Kota Ambon Dorong Seluruh Sekolah Lakukan Pembelajaran Tatap Muka,https://www.satumaluku.id/2022/03/15/pemerintah-kota-ambon-dorong-seluruh-sekolah-lakukan-pembelajaran-tatap-muka/,news
162,82,MALUKU UTARA,tutup,31 Maret 2020,Libur Sekolah di Kota Ternate Diperpanjang Sampai 12 April,https://poskomalut.com/libur-sekolah-di-kota-ternate-diperpanjang-sampai-12-april/,news
163,52,NUSA TENGGARA BARAT,tutup,15 Maret 2020,"Surat Edaran Wali Kota Mataram Nomor 422.3/302/DISDIK.A/III/2020 Tahun 2020
Pencegahan Penyebaran Corona Virus Disease 2019 (Covid-19) Pada Satuan Pendidikan Di Kota...",https://covid19.hukumonline.com/wp-content/uploads/2021/06/surat_edaran_wali_kota_mataram_nomor_422_3_302_disdik_a_iii_2020_tahun_2020.pdf,regulation
164,52,NUSA TENGGARA BARAT,tutup,16 Maret 2020,"Surat Edaran Bupati Sumbawa Nomor 1886/151/DIKBUD/2020 Tahun 2020
Pencegahan Penyebaran Corona Virus Disease (Covid-19) Pada Satuan Pendidikan Di Kabupaten Sumbawa",https://covid19.hukumonline.com/wp-content/uploads/2021/05/surat_edaran_bupati_sumbawa_nomor_1886_151_dikbud_2020_tahun_2020.pdf,regulation
165,52,NUSA TENGGARA BARAT,tutup,16 Maret 2020,"Aceh, Jambi, NTB Liburkan Sekolah Dua Pekan Cegah Corona",https://www.cnnindonesia.com/nasional/20200316092721-20-483715/aceh-jambi-ntb-liburkan-sekolah-dua-pekan-cegah-corona,news
166,52,NUSA TENGGARA BARAT,tutup,16 Maret 2020,"NTB Darurat Corona, Semua Sekolah Libur Kecuali SMA dan SMK Kelas 12",https://bali.bisnis.com/read/20200316/537/1213701/ntb-darurat-corona-semua-sekolah-libur-kecuali-sma-dan-smk-kelas-12,news
167,53,NUSA TENGGARA TIMUR,tutup,20 Maret 2020,Dinas Pendidikan Kabupaten Kupang Meliburkan Seluruh Sekolah Sampai 4 April Mendatang,https://infontt.com/2020/dinas-pendidikan-kabupaten-kupang-meliburkan-seluruh-sekolah-sampai-4-april-mendatang/,news
168,94,PAPUA,tutup,16 Maret 2020,"Akhirnya, Pemkot Jayapura Liburkan Sekolah 14 Hari",https://www.liputan6.com/regional/read/4203459/akhirnya-pemkot-jayapura-liburkan-sekolah-14-hari,news
169,91,PAPUA BARAT,tutup,19 Maret 2020,"Pemkab Manokwari Liburkan TK, SD, SMP Mulai 19 Maret 2020",https://papuakini.co/2020/03/18/pemkab-manokwari-liburkan-tk-sd-smp-mulai-19-maret-2020/,news
170,14,RIAU,tutup,15 Juli 2020,"Surat Edaran Wali Kota Dumai Nomor 1253/DISDIKBUD/2020 Tahun 2020
Larangan Kegiatan Belajar Mengajar Secara Tatap Muka Di Satuan Pendidikan",https://covid19.hukumonline.com/wp-content/uploads/2021/08/surat_edaran_wali_kota_dumai_nomor_1253_disdikbud_2020_tahun_2020-1.pdf,regulation
171,76,SULAWESI BARAT,tutup,18 Maret 2020,Besok Anak Sekolah di Mamasa Diliburkan,https://www.transtipo.com/kabupaten-mamasa/besok-anak-sekolah-di-mamasa-diliburkan/,news
172,73,SULAWESI SELATAN,tutup,30 Maret 2020,"Surat Edaran Gubernur Sulawesi Selatan Nomor 443.2/2181/DISDIK Tahun 2020
Perpanjangan Masa Belajar Di Rumah Pada Satuan Pendidikan Sma/Ma, Smp/Mts, Sd/Mi Sederajat...",https://covid19.hukumonline.com/wp-content/uploads/2020/04/surat_edaran_gubernur_sulawesi_selatan_nomor_443_2_2181_disdik_tahun_2020-1.pdf,regulation
173,73,SULAWESI SELATAN,tutup,30 Maret 2020,"Surat Edaran Bupati Bone Nomor 410/577/III/DISDIK/2020 Tahun 2020
Pelaksanaan Perpanjangan Sistem Belajar Di Rumah Dalam Rangka Pencegahan Penyebaran Virus Corona...",https://covid19.hukumonline.com/wp-content/uploads/2020/04/surat_edaran_bupati_bone_nomor_410_577_iii_disdik_2020_tahun_2020-2.pdf,regulation
174,72,SULAWESI TENGAH,tutup,16 Maret 2020,PENCEGAHAN DAN ANTISIPASI PENYEBARAN COVID – 19 DI SULAWESI TENGAH,https://bkd.sultengprov.go.id/index.php/2020/03/17/pencegahan-dan-antisipasi-penyebaran-covid-19-di-sulawesi-tengah/,regulation
175,74,SULAWESI TENGGARA,tutup,16 Maret 2020,Gubernur Sultra instruksikan libur belajar di sekolah,https://www.antaranews.com/berita/1358494/gubernur-sultra-instruksikan-libur-belajar-di-sekolah,news
176,71,SULAWESI UTARA,tutup,16 Maret 2020,"Liburkan Semua Sekolah, Gubernur Instruksikan Belajar di Kelas Maya",https://manguninews.com/liburkan-semua-sekolah-gubernur-instruksikan-belajar-di-kelas-maya/,news
177,71,SULAWESI UTARA,buka,12 Juli 2021,"Pembelajaran Tatap Muka Terbatas di Sulut Mulai 12 Juli 2021, Ini Persyaratannya",https://sulut.inews.id/berita/pembelajaran-tatap-muka-terbatas-di-sulut-mulai-12-juli-2021-ini-persyaratannya,news
178,71,SULAWESI UTARA,buka,21 September 2021,In Picture: Pembelajaran Tatap Muka Mulai Dilaksanakan di Manado,https://www.republika.co.id/berita/qzrunm283/pembelajaran-tatap-muka-mulai-dilaksanakan-di-manado,news
179,71,SULAWESI UTARA,buka,10 Januari 2022,Pembelajaran Tatap Muka 100 Persen Mulai Diterapkan Sekolah-sekolah di Kota Manado,https://manado.pikiran-rakyat.com/manadoku/pr-2363450914/pembelajaran-tatap-muka-100-persen-mulai-diterapkan-sekolah-sekolah-di-kota-manado,news
180,71,SULAWESI UTARA,buka,14 Januari 2022,Bitung PTM 100 persen,https://manado.antaranews.com/berita/174493/bitung-ptm-100-persen,news
