no,admin1_bps_code,admin1_bps,status,date,sektor,title,source,type_source
38,11,ACEH,buka,28 September 2021,pariwisata,Banda Aceh Kembali Buka Objek Wisata,https://ihram.co.id/berita/r033y3335/banda-aceh-kembali-buka-objek-wisata,news
39,11,ACEH,buka,10 Mei 2022,pariwisata,Banda Aceh buka lebar akses wisata seiring COVID-19 level I,https://www.antaranews.com/berita/2871697/banda-aceh-buka-lebar-akses-wisata-seiring-covid-19-level-i,news
40,51,BALI,tutup,25 April 2020,penerbangan,Layanan Penerbangan di Bandara Ngurah Rai Tutup Sementara,https://radarbali.jawapos.com/bali/denpasar-badung/25/04/2020/layanan-penerbangan-di-bandara-ngurah-rai-tutup-sementara/,news
41,51,BALI,tutup,1 Juli 2021,pasar,"Jokowi Resmi Putuskan PPKM Darurat Jawa-Bali, Mal Tutup hingga Restoran Hanya Pesan Antar",https://money.kompas.com/read/2021/07/01/121346426/jokowi-resmi-putuskan-ppkm-darurat-jawa-bali-mal-tutup-hingga-restoran-hanya?page=all,news
42,51,BALI,tutup,12 Juli 2021,pasar,Ribuan Pedagang di 16 Pasar di Kota Denpasar Tutup,https://www.republika.co.id/berita/qw4vfs382/ribuan-pedagang-di-16-pasar-di-kota-denpasar-tutup,news
43,51,BALI,buka,22 Juli 2021,pasar,"Pedagang Pasar Sektor Non Esensial Mulai Diizinkan Buka, Pedagang Pakaian di Pasar Badung Sumringah",https://bali.tribunnews.com/2021/07/22/pedagang-pasar-sektor-non-esensial-mulai-diizinkan-buka-pedagang-pakaian-di-pasar-badung-sumringah,news
44,51,BALI,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
45,51,BALI,buka,20 Oktober 2021,pasar,"Aturan baru PPKM Jawa-Bali Level 1: Supermarket, pasar hingga mal boleh buka 100%",https://newssetup.kontan.co.id/news/aturan-baru-ppkm-jawa-bali-level-1-supermarket-pasar-hingga-mal-boleh-buka-100?page=all,news
46,36,BANTEN,tutup,24 Mei 2020,pariwisata,Tempat Wisata di Banten Tutup Selama Pandemi Corona Covid-19,https://dispar.bantenprov.go.id/Berita/topic/395,news
47,36,BANTEN,tutup,19 Desember 2020,pariwisata,"Pemprov Banten Tutup Objek WIsata Saat Tahun Baru, PHRI: Kita Ikut Saja",https://news.detik.com/berita-jawa-barat/d-5301537/pemprov-banten-tutup-objek-wisata-saat-tahun-baru-phri-kita-ikut-saja?single=1,news
48,36,BANTEN,tutup,15 Mei 2021,pariwisata,Gubernur WH Tutup Sementara Destinasi Wisata Banten,https://bantenprov.go.id/pressrealease/gubernur-wh-tutup-sementara-destinasi-wisata-banten,news
49,36,BANTEN,buka,21 Mei 2021,pariwisata,REVISI INSTRUKSI GUBERNUR NOMOR 556/901-DISPAR/2021 TENTANG PENUTUPAN SEMENTARA DESTINASI WISATA DAMPAK LIBUR HARI RAYA IDUL FITRI TAHUN 2021,https://satpolpp.bantenprov.go.id/upload/INSTRUKSI%20GUBERNUR%20Pariwisata%20Kab%26Kota%202021%20Birhuk.pdf,regulation
50,36,BANTEN,tutup,14 Juni 2021,pasar,Pasar Tradisional Di Tangerang Tutup 3 Hari,https://rm.id/baca-berita/nasional/79555/25-pedagang-positif-covid19-pasar-tradisional-di-tangerang-tutup-3-hari,news
51,36,BANTEN,tutup,3 Juli 2021,pariwisata,Wisata Religi Banten Lama Ditutup Selama PPKM Darurat,https://kumparan.com/kumparannews/wisata-religi-banten-lama-ditutup-selama-ppkm-darurat-1w42f9ebkD0/1,news
52,36,BANTEN,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
53,36,BANTEN,tutup,2 Februari 2022,pasar,In Picture: Kawasan Kuliner Pasar Lama Tangerang Ditutup Sementara,https://www.republika.co.id/berita/r6omfx283/kawasan-kuliner-pasar-lama-tangerang-ditutup-sementara,news
54,17,BENGKULU,tutup,7 Mei 2020,pariwisata,"Dijaga Aparat, Objek Wisata di Bengkulu Tutup hingga Akhir Mei",https://www.beritasatu.com/archive/638177/dijaga-aparat-objek-wisata-di-bengkulu-tutup-hingga-akhir-mei,news
55,17,BENGKULU,tutup,6 Mei 2021,pariwisata,Cegah Penyebaran Covid-19 Bupati Bengkulu Selatan Tutup Tempat Wisata Selama Lebaran,https://www.tribunnews.com/regional/2021/05/06/cegah-penyebaran-covid-19-bupati-bengkulu-selatan-tutup-tempat-wisata-selama-lebaran?page=all,news
56,34,DI YOGYAKARTA,tutup,21 Juli 2021,pariwisata,Pemkab Gunung Kidul masih tutup seluruh objek wisata,https://pon.antaranews.com/berita/2279806/pemkab-gunung-kidul-masih-tutup-seluruh-objek-wisata,news
57,34,DI YOGYAKARTA,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
58,31,DKI JAKARTA,tutup,3 Oktober 2020,pasar,"Pedagang dan Karyawannya Positif Covid-19, Harco Pasar Baru Tutup hingga Minggu (4/10)",https://jakarta.bisnis.com/read/20201003/77/1300098/pedagang-dan-karyawannya-positif-covid-19-harco-pasar-baru-tutup-hingga-minggu-410,news
59,32,JAWA BARAT,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
60,33,JAWA TENGAH,tutup,16 Maret 2020,pariwisata,"Hindari Sebaran Corona, Puluhan Destinasi Wisata di Jateng Tutup",https://jatengprov.go.id/publik/hindari-sebaran-corona-puluhan-destinasi-wisata-di-jateng-tutup/,news
61,33,JAWA TENGAH,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
62,35,JAWA TIMUR,buka,27 Juli 2021,pasar,Mendag: Seluruh Pasar Rakyat di Jawa-Bali Boleh Buka Selama PPKM Ini,https://www.suarasurabaya.net/ekonomibisnis/2021/mendag-seluruh-pasar-rakyat-di-jawa-bali-boleh-buka-selama-ppkm-ini/,news
63,63,KALIMANTAN SELATAN,tutup,18 Maret 2020,pasar,Banjarmasin Mulai Tutup Pasar Terapung,https://www.republika.co.id/berita/q7drzf463/banjarmasin-mulai-tutup-pasar-terapung,news
64,63,KALIMANTAN SELATAN,tutup,27 Maret 2020,pariwisata,"Cegah Covid-19, Dispar Kalsel Tutup Destinasi Wisata",https://diskominfomc.kalselprov.go.id/2020/03/27/cegah-covid-19-dispar-kalsel-tutup-destinasi-wisata/,news
65,94,PAPUA,tutup,26 Maret 2020,pariwisata,Tempat Wisata Ditutup,https://disbudpar.jayapurakab.go.id/tempat-wisata-ditutup/,news
66,94,PAPUA,tutup,14 Juli 2021,pariwisata,"COVID-19 Meningkat, Pemkot Jayapura Tutup Lokasi Wisata Sepanjang Juli",https://kumparan.com/bumi-papua/covid-19-meningkat-pemkot-jayapura-tutup-lokasi-wisata-sepanjang-juli-1w7remOoevL/4,news
67,18,LAMPUNG,tutup,23 Maret 2020,perkantoran,"Ikuti Arahan Menpan RB Dan Menkes, Gubernur Arinal Terapkan “Work From Home” Antisipasi Covid 19",https://bpsdm.lampungprov.go.id/detail-post/ikuti-arahan-menpan-rb-dan-menkes-gubernur-arinal-terapkan-work-from-home-antisipasi-covid-19,news
